Question no,Question,Answer,Section
205,Wat is een geschikte snack voor tussendoor bij een vloeibaar dieet?,Een geschikte snack voor tussendoor bij een vloeibaar dieet kan bijvoorbeeld kwark of yoghurt met rozenbottelsiroop en suiker zijn.,"Gladgebonden vloeibaar dieet --- Voorbeeld van een dagmenu --- Ontbijt: 
- pap eventueel met suiker en/of room; 
- (karne)melk of chocolademelk; 
- thee of koffie eventueel met suiker en/of room. In de loop van de morgen: 
- glas vruchtensap bijvoorbeeld sinaasappelsap eventueel met suiker en/of room; 
- vla, yoghurt of kwark; 
- koffie eventueel met suiker en/of room. Lunch: 
- pap eventueel met suiker en/of room; 
- (karne)melk of chocolademelk. In de loop van de middag: 
- kwark of yoghurt met rozenbottelsiroop en suiker; 
- thee eventueel met suiker . Warme maaltijd: 
- gezeefde mixsoep; 
- vruchtenmoes, appelmoes; 
- vla, yoghurt of kwark. In de loop van de avond: 
- koffie of thee eventueel met suiker en /of room; 
- milkshake."
206,Wat zijn de dieetvoorschriften voor het inbrengen van PICC-lijnen?,"Tot een half uur voor het melden bij de receptie mag u nog een licht ontbijt gebruiken: 1 snee brood of 2 beschuiten met beleg. 1 kop thee of koffie is ook toegestaan. Daarna mag u niet meer eten, drinken of roken.","Inbrengen PICC lijnen --- Dieet --- - Tot een half uur voor het melden bij de receptie mag u nog een licht ontbijt gebruiken: 1 snee brood of 2 beschuiten met beleg. 
- 1 kop thee, koffie. Daarna mag u niet meer eten, drinken of roken."
208,Wat is een kaliumbeperkt dieet?,Een kaliumbeperkt dieet is een dieet waarbij de inname van kalium wordt verminderd om de kaliumbalans in het lichaam te reguleren.,Kaliumbeperkt dieet --- Kaliumbeperkt dieet --- In deze folder vindt u meer informatie over kalium en het kaliumbeperkt dieet.
209,Wat is de hoeveelheid kalium in een glas melk van 150 ml?,In een glas melk van 150 ml zit 240 mg kalium.,"Kaliumbeperkt dieet --- Zuivel Kalium (mg) --- Melk, per glas (150 ml) 240 Karnemelk, per glas (150 ml) 210 Vla, per schaaltje (150 ml) 220 Yoghurt, per schaaltje (150 ml) 230 Chocolademelk, per glas (150 ml) 310 Kwark, per schaaltje (150 ml) 240 Sojamelk, per glas (150 ml) 120 Yoghurtdrank, per glas (150 ml) 180"
212,Welk fruit is licht verteerbaar voor oudere patiënten?,"Rijp fruit zonder pit en schil, zoals peer, perzik, banaan en meloen, is licht verteerbaar voor oudere patiënten.","Licht verteerbare voeding --- Fruit --- rijp fruit, zonder pit en schil (bijvoorbeeld peer, perzik, banaan, meloen) Indien u dit kunt verdragen: abrikoos, appel, appelmoes, zachte compote en vruchtensap. onrijp fruit, fruit met schil of pit (bessen, aardbeien, frambozen, ananas, grapefruit, druiven). citrusvruchten (sinaasappel, grapefruit). gedroogd en gekonfijt fruit (krenten, rozijnen, gember)."
214,Hoe lang is sondevoeding houdbaar als het ongeopend is en op kamertemperatuur wordt bewaard?,Sondevoeding is ongeopend op kamertemperatuur houdbaar tot de houdbaarheidsdatum op de verpakking.,"Naar huis met sondevoeding, diëtetiek --- Houdbaarheid van de sondevoeding --- - De sondevoeding is ongeopend op kamertemperatuur houdbaar tot de houdbaarheidsdatum op de verpakking. 
- Geopend buiten de koelkast (op kamertemperatuur) is de sondevoeding maximaal acht uur houdbaar. 
- Geopend maar in de koelkast bewaard is de sondevoeding 24 uur houdbaar."
217,Wat zijn zoutarme producten?,Zoutarme producten zijn producten met een laag natriumgehalte. Deze producten zijn verkrijgbaar in de meeste supermarkten en zijn te herkennen aan het label 'zoutarm' of 'natriumarm'.,"Natriumarme producten --- Zoutarme producten --- Deze folder gaat over Zoutarmearme producten. Deze producten zijn in de meeste supermarkten goed verkrijgbaar, tussen de reguliere producten, of in het dieetschap. Het assortiment in de supermarkten is aan verandering onderhevig. Het kan daarom voorkomen dat producten uit deze lijst niet meer verkrijgbaar zijn of dat er (nieuwe) producten zijn die (nog) niet in dit overzicht zijn opgenomen. Deze lijst is daarom nooit volledig."
219,Wat betekent 'zoutloos' op een etiket?,"Als op een etiket staat dat het product zoutloos is, dan betekent dit dat er geen zout in het product zit. Let wel op dat het natriumgehalte op het etiket vaak staat aangeduid per 100 ml of mg, wat niet altijd overeenkomt met de werkelijke hoeveelheid die gebruikt wordt.","Natriumbeperkt dieet --- Informatie op het etiket --- Op het etiket van voorverpakte producten staat hoeveel natrium (Na) erin zit. Door etiketten te vergelijken, kunt u het product kiezen met het laagste natriumgehalte. Als op een etiket staat dat het product zoutloos is, dan zit er ook werkelijk geen zout in. Let wel dat natrium op het etiket vaak staat aangeduid per 100 ml of mg. Dit is veelal niet de hoeveelheid die gebruikt wordt."
220,Wat is de aanbevolen hoeveelheid margarine/halvarine voor dit ontbijt?,Voor dit ontbijt wordt aanbevolen om 310 gram margarine of halvarine te gebruiken.,"Natriumbeperkt dieet --- Ontbijt --- 2 sneden volkoren of bruin brood 2 x 155 = 310 margarine of halvarine - 1x kaas 140 1x zoet beleg, bijv. jam - 1 beker melk of karnemelk 65 thee of koffie evt. met koffiemelk -"
222,"Wat zijn enkele voorbeelden van vlees, wild en gevogelte die zonder zout kunnen worden bereid?",Alle soorten zonder zout bereid.,"Natriumbeperkt dieet --- Warme maaltijd: geheel zonder zout en zoute smaakmakers bereiden Aan te raden Af te raden --- Soep Natriumarme soep of natriumarme bouillon eventueel met vlees, kip of vis. Soep Gezouten soep of bouillon, bouillonblokjes, bouillonpoeder, soep uit blik of pakje en Maggi. Vlees, wild en gevogelte Alle soorten zonder zout bereid. Vlees, wild en gevogelte Gemarineerd en gepaneerd vlees, vis of kip, blinde vinken, rollade, kroketten, rookworst, worstsoorten en vlees uit blik of glas. Vis, schaal- en schelpdieren Vis zonder zout bereid en ongepaneerde vis. Vis, schaal- en schelpdieren Gezouten-, gemarineerde-, gestoomde-, gerookte- en gepaneerde vis, zoals: bokking, makreel, paling, zure- en zoute haring, krab, rolmops, garnalen, lekkerbekje, kibbeling en vis uit blik. Vetten en oliën Olie, ongezouten (dieet) margarine, ongezouten boter, ongezouten bak- en braadproduct. Vetten en oliën Gezouten (dieet) margarine, gezouten boter, gezouten bak- en braadproduct."
223,Wat is een energie- en eiwitverrijkt dieet?,Een energie- en eiwitverrijkt dieet is bestemd voor mensen met een te laag lichaamsgewicht of bij wie sprake is van onbedoeld gewichtsverlies.,"Ondervoeding, voedingsadviezen bij (risico op) --- Inleiding --- Een energie- en eiwitverrijkt dieet is bestemd voor mensen met een te laag lichaamsgewicht of bij wie sprake is van onbedoeld gewichtsverlies. Een energie- en eiwitverrijkt dieet wordt bijvoorbeeld geadviseerd wanneer u: 
- Langdurig ziek bent. 
- Een zware operatie moet of heeft ondergaan. 
- Grote operatie- of doorligwonden heeft. 
- Ondergewicht heeft. 
- Onbedoeld bent afgevallen. 
- Bestraling en/of chemotherapie moet ondergaan. Bij ziekte en herstel (bijvoorbeeld na een operatie) verbruikt het lichaam meer energie (= calorieën) en eiwit (=bouwstof voor onder andere de spieren) dan normaal. Eiwit komt veel voor in: vlees, vis, kaas, ei, (soja)melkproducten, noten, pinda’s en peulvruchten. Door bijvoorbeeld verminderde eetlust, misselijkheid, emoties en benauwdheid is eten vaak moeilijk, waardoor de inname aan voedingsstoffen minder kan worden. Als u onbedoeld gewicht verliest, verliest u geen vetreserves maar spiermassa. Verlies van spiermassa is niet wenselijk en heeft nadelige gevolgen voor uw conditie."
224,Welke voedingsmiddelen zijn niet toegestaan na een slokdarmresectie?,"Na een slokdarmresectie zijn harde of zachte broodjes, brood of cracker met noten, pitten of zaden, croissants, cornflakes, muesli, cruesli, granola, rood vlees, vis met vel en graat, gepaneerde vissoorten, gepaneerde vleesvervangers met noten, mais of andere grove stukken en groenten die vezelig of taaie velletjes hebben niet toegestaan.","Opbouw voeding na slokdarmresectie --- Productgroep --- Wel toegestaan Niet toegestaan (wel in gepureerde vorm als mogelijk) Brood- en graanproducten - Alle papsoorten - Brood - Harde of zachte broodjes - Brood of cracker met noten, pitten of zaden - Tosti - Cracker - Beschuit - Croissants - Krentenbrood - Brood met spijs - Suikerbrood - Cornflakes - Muesli, cruesli, granola Kaas - Smeerkaas - Hüttenkäse - Zachte verse geitenkaas - Cottage cheese - Roomkaas - Harde kazen Vleeswaren - Zachte fijngesneden vleeswaren, zoals kipfilet, kalkoenfilet, gekookte ham, grillworst, Gelderse worst - Leverproducten - Filet American - Rood vlees, zoals rosbief, rookvlees, rauwe ham, ossenworst, carpaccio, fricandeau Ei - Fijngeprakt gekookt ei - Fijngesneden gebakken ei - Fijngesneden omelet Melk(producten) - Gladde zuivelproducten - Vruchtenyoghurt of kwark met kleine zachte stukjes fruit - Stracciatella yoghurt, vla of kwark met kleine stukjes chocolade Fruit - Fijngesneden of gepureerd fruit zoals appel, banaan, peer, mango, kiwi, aardbeien, frambozen, perziken, nectarines - Fijngesneden of gepureerd fruit uit pot of blik - Vruchtenmoes of vruchtensap - Citrusfruit - Gedroogd fruit Vlees - Fijngemaakte tartaar - Fijngemalen gehakt (runder-, varkens-, kip) - Gekookte fijngemalen kip - rood vlees, zoals biefstukken, riblappen, rosbief, varkenshaas Vis - Alle soorten vis fijngemalen zonder vel en zonder graat - Vis met vel en graat - Gepaneerde vissoorten zoals bijvoorbeeld gebakken vis, vissticks, kibbeling en lekkerbek Vleesvervangers - Fijngemalen ongepaneerde vleesvervangers zoals omelet, falafel, vega balletjes en burgers (zonder noten, mais of andere grove stukken) - Tofu of tempé - Gepaneerde vleesvervangers zoals schnitzel, cordon blue, rondo en carré Noten - Alle noten Aardappel, rijst en pasta - Geprakte gekookte aardappel - Aardappelpuree - Gebakken aardappel - Bami of mihoen - Pasta - Risotto - Rijst of Shusi - Quinoa Groenten - Gekookte zacht - Groenten die vezelig of gepureerde groenten zoals aubergine, bloemkool, broccoli, wortel, courgette, spinazie (a la crème), andijvie, paksoi, raapstelen, koolraap, witlof, schorsenen, bietjes en pompoen - Gepureerde ontvelde tomaten hard blijven en/of taaie velletjes hebben zoals erwtjes, boontjes, paprika, peultjes, mais, bleekselderij, asperges en zuurkool - Tomaten met vel"
225,Wat moet ik doen als ik een vol gevoel heb tijdens het eten na een slokdarmresectie?,"Als u een vol gevoel heeft tijdens het eten na een slokdarmresectie, moet u even stoppen met eten.","Opbouw voeding na slokdarmresectie --- Vaste voeding --- In principe mag u 15 dagen na een slokdarmresectie weer alles eten en drinken. Begin wel eerst met zachte, vaste voeding. Onderstaande dagmenu’s zijn bedoeld om te laten zien hoe u de voeding op kunt bouwen. Bij een vol gevoel moet u even stoppen met eten."
227,Moet ik specifieke dranken vermijden voor de uterus embolisatie?,"Ja, het wordt afgeraden om natriumbicarbonaat of koolzuurhoudende dranken zoals frisdrank of bronwater te gebruiken voor de uterus embolisatie.","Uterus embolisatie --- Dieet --- - Tot 5 uur voor het melden bij de gastenservice mag u nog een licht ontbijt gebruiken:1 snee brood of 2 beschuiten met beleg. Daarna mag u niet meer eten, drinken of roken. 
- Wel is het toegestaan om tot een uur voor het melden heldere dranken te gebruiken, bijvoorbeeld koffie/thee (zonder melk), sap zonder pulp, water of aanmaaklimonade."
228,Wat is atherosclerose of slagaderverkalking?,Atherosclerose of slagaderverkalking is een vernauwing of afsluiting in de beenslagader als gevolg van verkalking en vetafzetting in de wand van de slagader.,"VSM arterialisatie --- Aanleiding --- Er is bij u een vernauwing of afsluiting in uw beenslagader vastgesteld. Dit is gevolg van verkalking en vetafzetting in de wand van de slagader. Dit noemen we atherosclerose of slagaderverkalking. Er zijn verschillende factoren die een rol spelen bij het ontstaan van slagaderverkalking. Dit zijn onder andere: 
- familiaire belasting; 
- leeftijd; 
- geslacht; 
- roken; 
- hoge bloeddruk; 
- te hoog cholesterolgehalte in het bloed; 
- diabetes mellitus; 
- overgewicht. Door de vernauwing of afsluiting in uw beenslagader stroomt er minder bloed naar uw onderbeen. Hierdoor krijgt de kuitspier bij lopen te weinig zuurstof. Lopen kan dan pijnlijk zijn voor uw kuit. Vaak verdwijnen deze klachten weer in rust. Patiënten met minder ernstige klachten kunnen meestal zonder operatie worden behandeld, ook al zijn er slagaderen afgesloten. In dat geval wordt u geadviseerd om veel te lopen, gezond te leven en niet te roken. In bepaalde gevallen kan een vernauwing worden opgerekt met een ballonkatheter, het zogenaamde dotteren. Het kan ook zijn dat er zo weinig bloed door uw been stroomt, dat u in rust of ’s nachts in bed zoveel pijn in uw voet krijgt, dat u uw been uit bed moet laten hangen om verlichting te krijgen. Of dat u wonden aan uw voet of onderbeen heeft die niet meer genezen. In deze gevallen is een operatie nodig om de doorstroming in uw been te verbeteren. Wanneer in uw geval een dotterbehandeling of een bypassoperatie niet meer mogelijk is, u nog veel pijnklachten houdt en de wonden op uw been niet meer genezen, kan een amputatie van het been de enige optie zijn. Binnen ZGT is er de afgelopen jaren onderzoek gedaan naar een nieuwe operatietechniek: de VSM/VSP arterialisatie. Hierbij wordt een oppervlakkige ader (VSM, vena saphena magna of VSP, vena saphena parva) in het been aangesloten op een slagader. Normaal stroomt het bloed in de ader terug naar het hart. Om deze reden zitten er klepjes in de aderen. Deze klepjes in de aderen worden kapot gemaakt tot op de enkel en voet. Als deze klepjes kapot zijn kan er dus zuurstofrijk bloed door deze aderen (en dus niet door een slagader) in de richting van de voet stromen. Een deel van de patiënten zien na verloop van tijd verbetering ten aanzien van de klachten en wonden langzaam genezen. Wanneer de doorbloeding van de tenen niet verbeteren, kan soms amputatie van de tenen nodig zijn. Ongeveer 50 procent van de patiënten kan door deze operatietechniek zijn been behouden. Deze operatie wordt alleen aangeboden in het ZGT en alleen als er geen andere mogelijkheden meer zijn."
229,Hoe lang van tevoren mag ik nog eten en drinken?,U mag tot een half uur voor het melden bij de gastenservice nog eten en drinken. Daarna is het niet meer toegestaan.,"Vena testicularis --- Dieet --- Tot een ½ uur voor het melden bij de gastenservice mag u nog een licht ontbijt of lunch gebruiken: 
- 1 snee brood of 2 beschuiten met beleg. 
- 1 kop thee, koffie. Daarna mag u niet meer eten, drinken of roken."
230,Is het belangrijk om meer te drinken bij het gebruik van extra vezels?,"Ja, het advies is om gelijktijdig met het gebruik van extra vezels ook meer te drinken.","Vezelrijke voeding --- Vezelrijke voedingsmiddelen --- - Volkoren- en roggebrood, bruin brood, vezelrijk knäckebröd en -beschuit, mueslibrood, krenten- en rozijnenbrood. 
- Muesli, ontbijtgranen, vezelrijke bindmiddelen bijvoorbeeld: havermout, gort, grutten, boekweit en tarwevlokken. 
- Aardappelen, zilvervliesrijst, volkoren pasta, zoals macaroni en spaghetti. 
- Peulvruchten (linzen, kapucijners, groene erwten, bruine en witte bonen en kidneybonen). 
- Groenten en fruit. 
- Gedroogde en geweekte zuidvruchten zoals: pruimen, abrikozen, krenten, rozijnen, tuttifrutti en vijgen. 
- Noten en pinda’s. Als extra toevoeging ter verhoging van het vezelgehalte in uw voeding, kunt u zemelen, lijnzaad of fibrex (=bietenvezel) gebruiken. Het advies is om gelijktijdig met het gebruik hiervan extra te drinken. Deze producten kunt u toevoegen aan: 
- Pap, vla, yoghurt, karnemelk en vruchtensap. 
- Puree. 
- Als bindmiddel in waterige groenten, bijvoorbeeld: spinazie, andijvie en witlof. 
- In plaats van beschuit voor het aanmaken van gehakt. 
- Als paneermeel."
232,Kan ik na een (sub)totale maagresectie nog steeds een warme maaltijd eten?,"Ja, na een (sub)totale maagresectie kunt u nog steeds een warme maaltijd eten. Het is belangrijk dat u voeding kiest die gemakkelijk gemalen kan worden en dat u deze zo nodig met bouillon of jus verdunt.","Vloeibare voeding na (sub)totale maagresectie --- Warme maaltijd --- Naar eigen inzicht kan een warme maaltijd gemaakt worden van vlees, vis of kip met groente en aardappelen. Voor het op smaak maken van de voeding kunt u gebruik maken van bijvoorbeeld kruiden en specerijen, ui of tomaat. U kunt alles malen in een keukenmachine en zo nodig verdunnen met bouillon of jus. Voeding die makkelijk kan worden gemalen: gehakt, gestoofde vis, aardappelpuree, diepvriesgroente (bijvoorbeeld spinazie), fijngemaakte stamppot, soep uit blik of pakje, peulvruchtensoep (bijvoorbeeld erwtensoep), kant en klare babyvoeding (potjes). Voorbeelden van menucombinaties die u kunt bereiden: 
- Ham, koolraap, aardappelen, kaas (smeltkaas of korstloze kaas) en melk 
- Rijst met goulash, paprika, tomaat en bouillon 
- Gemalen rookworst, stamppot boerenkool en bouillon 
- Visragout, worteltjes, aardappelpuree en melk 
- Spaghetti bolognese met extra saus, paprika, ui en courgette 
- Kipragout, bietjes, aardappelen en bouillon 
- Bruine bonen met gehakt en extra saus, gezeefde paprika en appelmoes 
- Gemalen runderlapje, sperziebonen, aardappelen en jus 
- Rijst met gehakt in roomsaus en doperwten"
233,Wat zijn de inhoudsmaten voor verschillende drinkgerechten in het ZGT Thuis?,"De inhoudsmaten in het ZGT Thuis zijn als volgt: een standaard glas: 150 ml, een standaard kopje: 125 ml, een schaaltje vla/yoghurt: 150 ml, een bakje appelmoes: 100 ml en een ijsklontje: 15 ml. Daarnaast staat 1 stuk fruit gelijk aan 100 ml.","Vochtbeperking --- Inhoudsmaten --- Inhoudsmaten ZGT Thuis Glas standaard 150 ml Kopje standaard 125 ml Schaaltje vla/yoghurt 150 ml Bakje appelmoes 100 ml IJsklontje 15 ml 1 stuk fruit 100 ml Vindt u het ondanks deze tips toch moeilijk om u aan uw vochtbeperking te houden, geeft dit dan aan bij uw verpleegkundige, arts of diëtist. Samen zoeken we dan naar een oplossing."
236,"Welke dranken zijn geschikt voor patiënten met een stent in de slokdarm, maag of dunne darm?","Patiënten met een stent in de slokdarm, maag of dunne darm kunnen onder andere melk, karnemelk, yoghurtdrank, thee, koffie en vruchtensap drinken.","Voedingsadviezen bij een stent in de slokdarm, maag of dunne darm --- Suggesties voor de maaltijd --- Broodmaaltijd 
- Bruinbrood, beschuit, cracker, knäckebröd; 
- Royaal besmeerd met margarine of roomboter; 
- Beleg: kaas, smeerkaas; 
- Vleeswaren zoals boterhamworst, ham, kip/kalkoenfilet, leverkaas, paté of smeerworst; 
- Jam, honing, hagelslag, stroop of pindakaas; 
- Ei, gekookt, gebakken of als omelet; 
- Ragout, huzarensalade, zalmsalade, tonijnsalade of sandwichspread; 
- Drink royaal bij de maaltijden, bijvoorbeeld melk, karnemelk, yoghurtdrank, thee, koffie of vruchtensap; 
- Eventueel pap, yoghurt of vla. Warme maaltijd 
- Eventueel enige tijd voor de maaltijd een kopje soep met zeer fijngesneden groenten en vlees; 
- Stukje vlees, vis, kip of omelet; 
- Royale portie jus of saus; 
- Portie gare groenten met een klontje boter of sausje; 
- Portie aardappelen, gekookt als puree of gebakken of rijst/deegwaren met veel saus; 
- Schaaltje appelmoes; 
- Nagerecht zoals, vla, yoghurt, kwark of ijs; Tussendoor 
- (volle) Melk, karnemelk, (volle) yoghurt, (volle) chocolademelk of (volle) vla; 
- Vruchtensap, limonade of frisdrank; 
- Rijp, zacht fruit; 
- Koekje, plakje cake, stukje taart of stukje chocola; 
- Stukje kaas of worst; 
- Thee/koffie met suiker en/of melk."
237,Wat zijn de algemene voedingsadviezen bij gebruik van niet-selectieve MAO-remmers?,"De algemene voedingsadviezen bij gebruik van niet-selectieve MAO-remmers zijn: - Eet geen rauwe eiwitrijke producten. - Bewaar rauwe eiwitrijke producten zo kort mogelijk en let op de houdbaarheidsdatum. - Bewaar rauwe eiwitrijke producten in een koelkast bij een temperatuur van 4 °C en voorzien van een thermometer of vries ze zo snel mogelijk in. - Ontdooi eiwitrijke producten in de koelkast of magnetron met ontdooistand, waarna ze direct bereid moeten worden. - Gebruik zoveel mogelijk verse bereide eiwitrijke producten. - Let bij diepgevroren en gekoelde maaltijden op de houdbaarheidsdatum en ontdooi en verwarm de maaltijd volgens instructie. - Het is verstandig om de temperatuur van de koelkast regelmatig te controleren door middel van koelkastthermometer. De temperatuur mag niet boven de 7 C komen (voorkeurstemperatuur ligt tussen 4 C en 7 C).","Voedingsadviezen bij gebruik van niet-selectieve MAO-remmers --- Algemeen --- - Eet geen rauwe eiwitrijke producten. 
- Bewaar rauwe eiwitrijke producten zo kort mogelijk en let op de houdbaarheidsdatum. 
- Bewaar rauwe eiwitrijke producten in een koelkast bij een temperatuur van 4 °C en voorzien van een thermometer of vries ze zo snel mogelijk in. 
- Ontdooi eiwitrijke producten in de koelkast of magnetron met ontdooistand, waarna ze direct bereid moeten worden. 
- Gebruik zoveel mogelijk verse bereide eiwitrijke producten. 
- Let bij diepgevroren en gekoelde maaltijden op de houdbaarheidsdatum en ontdooi en verwarm de maaltijd volgens instructie. 
- Het is verstandig om de temperatuur van de koelkast regelmatig te controleren door middel van koelkastthermometer. De temperatuur mag niet boven de 7 C komen (voorkeurstemperatuur ligt tussen 4 C en 7 C)."
245,Hoeveel groente en fruit wordt er dagelijks aanbevolen na een totale maagresectie?,Dagelijks wordt er aanbevolen om 250 gram groente en 2 stuks fruit te eten.,Voedingsadviezen na totale maagresectie --- Gebruik van groente en fruit --- In een algemeen advies voor gezonde voeding wordt aanbevolen dagelijks 250 gram groente en 2 stuks fruit te eten. Tot enkele maanden na de operatie zijn groente en fruit minder belangrijk. De eiwitrijke producten spelen dan de hoofdrol!
246,Wat zijn de drie belangrijke energieleverende voedingsstoffen?,"De drie belangrijke energieleverende voedingsstoffen zijn koolhydraten, vetten en eiwitten.","Zwangerschapsdiabetes en voeding --- Voeding --- Voeding bestaat uit drie belangrijke energieleverende voedingsstoffen: koolhydraten, vetten en eiwitten. Koolhydraten en vetten zijn de brandstoffen in de voeding, eiwitten zijn vooral van belang als bouwstof. Bij zwangerschapsdiabetes spelen de koolhydraten een belangrijke rol. Koolhydraten komen veel voor in onder andere brood, pasta, rijst, aardappelen, peulvruchten, fruit, vruchtensap, melk, karnemelk, yoghurt, vla, kwark, koek, snoep, zoet broodbeleg en alle suikersoorten."
247,Hoe wordt abatacept toegediend?,Abatacept wordt toegediend via een infuus in de arm. Dit duurt ongeveer één uur en vindt in locatie Almelo plaats op afdeling dagopname (routenummer 1.4) en in locatie Hengelo op afdeling kort verblijf (routenummer 1.17).,"Abatacept per infuus --- Wijze van toediening --- Abatacept wordt toegediend via een infuus in de arm. Dit duurt ongeveer één uur en vindt in locatie Almelo plaats op afdeling dagopname (routenummer 1.4) en in locatie Hengelo op afdeling kort verblijf (routenummer 1.17). Het infuus blijft na toediening nog een uur zitten, om eventuele overgevoeligheidsreacties zo nodig snel te kunnen behandelen. Daarna wordt het infuus verwijderd en kunt u naar huis. Twee en vier weken na het eerste infuus krijgt u opnieuw een toediening. Daarna wordt abatacept elke vier weken toegediend. Als abatacept bij u goed werkt dan kan het voor onbepaalde tijd worden gegeven."
248,Hoe wordt BEACOPP (escalated) toegediend?,BEACOPP (escalated) wordt toegediend via een infuus in een ader in uw hand of arm.,"BEACOPP (escalated), patiënteninformatie --- Pr Pr Pr Pr Pr Pr Pr Wijze van toediening: --- Cyclofosfamide, adriamycine, etoposide, oncovin en bleomycine worden u toegediend via een infuus in een ader in uw hand of arm. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. Op dag één wordt u de cyclofosfamide, adriamycine en de etoposide toegediend, op dag twee en drie krijgt u alleen etoposide. En op dag acht krijgt u oncovin en bleomycine. Procarbazine en prednison zijn tabletten en kunt u thuis innemen. Hier begint u mee op dag één. De procarbazine slikt u elke kuur zeven dagen en de prednison elke kuur veertien dagen. De kuur wordt afhankelijk van de bloeduitslagen om de drie weken gegeven."
250,Kan mijn bloeddruk stijgen door de Bevacizumab behandeling?,"Ja, Bevacizumab kan uw bloeddruk stijgen. Voor de toediening van bevacizumab wordt daarom uw bloeddruk gemeten.","Capecitabine _ bevacizumab, patiënteninformatie --- Manier van toediening: --- Bevacizumab wordt u toegediend via een infuus in een ader in uw hand of arm. Dit gebeurt op de dagbehandeling oncologie van de ZGT. De totale behandeling duurt ongeveer drie kwartier, waarbij de eerste en de tweede kuur door het opstarten van de bevacizumab langer zal duren. Capecitabine kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door t/m de ochtend van dag 15. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: 
- Bij koorts boven de 38.5° C moet u contact met ons opnemen. 
- U kunt last krijgen van diarree. Neem contact op met de oncologieverpleegkundige indien u vaker dan vier keer per dag diarree heeft. Zij zullen u adviseren over een passende behandeling. Blijf alert op uw ontlastingspatroon, de behandeling van diarree kan obstipatie (verstopping) als gevolg hebben. 
- U kunt last krijgen van pijn op de borst, geef dit altijd door aan de behandelend specialist, verpleegkundig specialist of oncologieverpleegkundige. 
- Pijnlijke gezwollen handen en/of voeten, hiervoor kunt u viermaal daags bodylotion/handcrème of 10% ureumzalf gebruiken. Probeer knellende kleding en schoenen zoveel mogelijk te vermijden. 
- Stomatitis: als de mond en/of keel pijnlijk, rood of gezwollen is of als u kapotte plekjes en zweren in de mond heeft. Goede mondverzorging en viermaal per dag spoelen met een zoutoplossing of kamille-/groene thee kan deze klachten al zoveel mogelijk voorkomen. 
- Door de bevacizumab kan uw bloeddruk stijgen. Voor de toediening van bevacizumab wordt daarom uw bloeddruk gemeten. 
- Tijdens en het gebruik van en tot 48uur na de laatste capecitabine wordt een zeer kleine hoeveelheid van het geneesmiddel uitgescheiden via lichaamsvloeistoffen, voornamelijk via uw urine. U hoeft zelf als patiënt geen beschermende maatregelen te nemen, maar voor familie en verzorgenden worden wel hygiënische voorzorgsmaatregelen noodzakelijk geacht als zij in direct contact kunnen komen met bijvoorbeeld urine, ontlasting of braaksel. Bij contact met urine, ontlasting of braaksel adviseren wij verzorgenden/naasten wegwerphandschoenen te dragen."
253,Waarvan wordt dexamethason en rituximab toegediend en hoe lang duurt deze behandeling?,Dexamethason en rituximab worden toegediend via een infuus in een ader in uw arm of hand. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT en duurt ongeveer drie en een half uur.,"Dexamethason, rituximab, cyclofosfamide, patiënteninformatie --- Wijze van toediening: --- Dexamethason en rituximab worden toegediend via een infuus in een ader in uw arm of hand. Deze behandeling vindt plaats op de dagbehandeling oncologie van ZGT. Om een allergische reactie op rituximab te voorkomen, krijgt u vooraf via het infuus medicijnen. Het is belangrijk dat u eventuele klachten tijdens de toediening direct meldt aan de oncologieverpleegkundige. De toediening duurt ongeveer drie en een half uur. De eerste en tweede kuur duren langer aangezien de rituximab dan langzamer inloopt. Cyclofosfamide (=endoxan) kunt u zelf innemen, want dit zijn tabletten. U start hiermee op de avond van dag één en gaat hiermee door tot en met de ochtend van dag zes. De volgende kuur start in principe drie weken na dag één als de bloeduitslagen goed zijn. Naast de algemene bijwerkingen kunnen de volgende specifieke bijwerkingen optreden: 
- Bij koorts boven de 38.5° C moet u contact met ons opnemen. 
- Uw haar gaat in principe niet uitvallen, mogelijk wordt het alleen wat dunner. 
- Cyclofosfamide kan klachten geven die lijken op een blaasontsteking. Daarom is het aan te bevelen anderhalf tot twee liter te drinken per dag. Ook is het goed deze klachten te melden bij uw arts. 
- Resten cytostatica kunnen tot dag tien in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u advies hoe u hiermee om kunt gaan. Als u klachten krijgt die u niet vertrouwd, mag u altijd contact met ons opnemen."
